City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
314,San Andres,CO,87.82,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
317,Hirara,JP,83.28,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
319,Cabo San Lucas,MX,85.14,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
320,Nagua,DO,89.46,broken clouds,19.3832,-69.8474,Hotel Cambri
322,Lompoc,US,81.93,smoke,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
324,Gujrat,PK,85.96,broken clouds,32.5728,74.079,Aziz Butt
328,Opuwo,,79.74,clear sky,-18.0607,13.84,ABBA Guesthouse
342,Faya,SA,75.31,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
344,Manokwari,ID,77.31,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
348,Cabedelo,BR,84.87,few clouds,-6.9811,-34.8339,Hotel Pigalle
349,Marsa Matruh,EG,79.0,clear sky,31.3525,27.2453,Beau Site
351,Sao Filipe,CV,80.56,overcast clouds,14.8961,-24.4956,Hotel Xaguate
352,Camabatela,AO,75.07,light rain,-8.1881,15.375,Pensão E Restaurantes
358,Corinto,GR,89.62,clear sky,37.9407,22.9573,Ephira Hotel
362,Sao Gabriel Da Cachoeira,BR,89.4,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
364,Jibuti,DJ,87.22,clear sky,11.5,42.5,Orchid Main Camp Goubet
366,Lianzhou,CN,75.51,broken clouds,24.7811,112.3825,Qingcheng Tourism Industry
370,Det Udom,TH,76.82,overcast clouds,14.906,105.0784,Chatsuda Resort
371,Grootfontein,,78.37,scattered clouds,-19.5667,18.1167,Meteor Travel Inn
372,Pirgos,GR,83.93,clear sky,35.1167,25.7178,Daios Cove
377,Tabou,CI,78.89,overcast clouds,4.423,-7.3528,hotêl doufoulougou
381,Ukiah,US,80.13,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
382,Makakilo City,US,75.52,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
386,Matagami,CA,75.31,clear sky,49.7502,-77.6328,Hôtel Matagami
393,Menomonie,US,76.57,broken clouds,44.8755,-91.9193,Best Western Plus Menomonie Inn & Suites
395,Westport,US,77.14,clear sky,41.1415,-73.3579,The Westport Inn
398,Forestville,US,80.94,few clouds,38.8451,-76.875,Quality Inn Near Joint Base Andrews-Washington Area
399,San Jose,US,77.83,clear sky,37.3394,-121.895,The Westin San Jose
401,Port Keats,AU,76.35,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
409,Ponta Do Sol,PT,75.83,scattered clouds,32.6667,-17.1,Hotel do Campo
413,The Valley,AI,86.83,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
414,Suluq,LY,86.68,clear sky,31.6682,20.2521,منزل عبدالواحد خليفة الفاخري
417,Yenagoa,NG,78.21,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
419,Cuyo,PH,79.92,overcast clouds,10.8525,121.0086,Feroland Hotel
422,Bontang,ID,76.66,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
429,Bubaque,GW,83.39,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
430,Cruzeiro Do Sul,BR,84.52,few clouds,-29.5128,-51.9853,Estrela Palace Hotel
431,Ixtapa,MX,85.23,clear sky,20.7,-105.2,Hotel Plaza Providencia
432,Coahuayana,MX,87.28,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
435,Lingao,CN,79.21,light rain,19.9103,109.6859,Lingao Ditai Inn
437,Barcelos,PT,75.85,clear sky,41.5388,-8.6151,Hotel Do Terço
438,Balkanabat,TM,82.65,clear sky,39.5108,54.3671,Nebitchi Hotel
446,Dhidhdhoo,MV,82.13,broken clouds,6.8833,73.1,Dhidhoo beach
448,Kousseri,CM,80.56,few clouds,12.0769,15.0306,Le Pilotis
449,Belmonte,BR,79.3,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
450,Siocon,PH,76.77,overcast clouds,7.7061,122.1353,ABS Hotel
451,Vila Praia De Ancora,PT,75.54,clear sky,41.811,-8.8526,Hotel Meira
455,Bandarbeyla,SO,77.76,overcast clouds,9.4942,50.8122,JABIR HOTEL
456,Bud,US,75.54,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
459,Mayumba,GA,75.31,broken clouds,-3.432,10.6554,LIKWALE LODGE
468,Salalah,OM,80.69,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
473,Matadi,CD,83.75,scattered clouds,-5.8167,13.45,Hotel Vivi Palace
478,Palmer,US,75.61,scattered clouds,42.1584,-72.3287,Wedgewood Motel
481,Dwarka,IN,82.33,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
486,Half Moon Bay,US,77.88,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
487,Sao Sebastiao,BR,78.58,clear sky,-23.76,-45.4097,Hotel Recanto dos Pássaros
489,Bengkulu,ID,76.39,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
491,Kahului,US,75.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
496,Tres Picos,MX,87.85,overcast clouds,15.8667,-93.5333,Tres picos Chiapas
501,Cam Ranh,VN,76.96,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
503,Fethiye,TR,76.87,clear sky,36.6217,29.1164,Club & Hotel Letoonia
504,Olinda,BR,80.33,few clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
505,Asini,GR,81.21,clear sky,37.5454,22.8621,Dolphin Hotel
508,Buchanan,LR,79.66,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
510,Luena,AO,78.73,broken clouds,-11.7833,19.9167,Hotel Kandamba
514,Nizwa,OM,88.34,scattered clouds,22.9333,57.5333,Orient Apartments
518,Bolivar,US,87.28,clear sky,37.6145,-93.4105,Comfort Inn Bolivar
520,Sassandra,CI,78.03,broken clouds,4.95,-6.0833,la terrasse
522,Pitimbu,BR,84.79,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
524,Raigarh,IN,76.12,moderate rain,21.9,83.4,Hotel Kanishka
525,Sarakhs,IR,78.94,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
526,Peraiyur,IN,80.24,broken clouds,9.7358,77.7896,ரஹ்மத்ஹோட்டல்
528,Maceio,BR,83.64,broken clouds,-9.6658,-35.7353,Poutur Pousada
534,San Pedro,PH,79.83,scattered clouds,14.35,121.0167,Villa Veronica Resort Private Pool
548,Gbarnga,LR,76.41,light rain,6.9956,-9.4722,Passion Hotel 2
551,Springdale,US,88.57,scattered clouds,36.1867,-94.1288,Springdale Inn
553,Lixourion,GR,80.46,clear sky,38.2019,20.4314,Hotel Summery
554,Les Cayes,HT,86.49,overcast clouds,18.2,-73.75,Villa Orphee
556,Lewistown,US,75.97,broken clouds,40.5992,-77.5714,Quality Inn & Suites
563,Zhuhai,CN,85.05,light rain,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
564,Kochi,IN,78.78,broken clouds,9.9399,76.2602,Hotel Abad
565,Kikwit,CD,82.69,few clouds,-5.041,18.8162,HOTEL PLACE YALABA
567,Puri,IN,81.12,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
570,Sulangan,PH,80.42,light rain,11.1373,123.7228,Maia's Beach Resort
572,Hue,VN,78.91,scattered clouds,16.4667,107.6,Saigon Morin Hotel
573,Mafra,BR,84.96,few clouds,-26.1114,-49.8053,Hotel Emacite Flex
574,Asind,IN,79.25,broken clouds,25.7333,74.3333,"HOTEL JIYA PALACE, ASIND"
576,Oriximina,BR,88.3,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
577,Kampot,KH,78.85,overcast clouds,10.6167,104.1833,Two Moons Hotel
585,Tual,ID,80.13,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
588,Mweka,CD,81.19,overcast clouds,-4.85,21.5667,Guest House Boshab
590,Kalmunai,LK,79.84,scattered clouds,7.4167,81.8167,VS Villa
592,Sulat,PH,76.98,overcast clouds,11.8103,125.4544,Babor's Lodging House
593,Puerto Escondido,MX,85.71,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
595,Ternate,ID,79.32,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
596,Ghanzi,BW,78.49,clear sky,-21.5667,21.7833,Ghanzi Farmhouse
597,Tagusao,PH,79.07,overcast clouds,9.1924,117.8141,Toledo
600,Nandigama,IN,78.75,heavy intensity rain,16.7833,80.3,Radisson
602,Road Town,VG,84.24,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
605,Pyapon,MM,77.22,overcast clouds,16.2833,95.6833,Aung Naing Thu Motel
610,San Policarpo,PH,78.75,overcast clouds,12.1791,125.5072,Manong Aklan Resort
614,Kumluca,TR,82.06,clear sky,36.3703,30.2869,TurkuazKöy
616,Puerto Del Rosario,ES,78.48,scattered clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
617,Takoradi,GH,77.92,broken clouds,4.8845,-1.7554,Raybow International Hotel
619,Maragogi,BR,79.3,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
621,Creston,US,78.08,broken clouds,41.0586,-94.3614,Supertel Inn & Conference Center
626,Bonthe,SL,80.4,broken clouds,7.5264,-12.505,Bonthe Holiday Village
630,Praya,CV,86.54,scattered clouds,14.9215,-23.5087,LT Aparthotel
631,Jonesboro,US,85.77,scattered clouds,35.8423,-90.7043,Hilton Garden Inn Jonesboro
634,Darnah,LY,80.4,clear sky,32.767,22.6367,فندق الفردوس
636,Komatipoort,ZA,79.29,few clouds,-25.4332,31.9548,Kruger View Backpackers
637,Meulaboh,ID,76.41,overcast clouds,4.1363,96.1285,Kost Pria
638,Gazanjyk,TM,77.23,clear sky,39.2446,55.5154,Railway motel
653,Columbus,US,83.32,overcast clouds,39.9612,-82.9988,DoubleTree Suites by Hilton Hotel Columbus Downtown
654,Solano,US,79.9,clear sky,38.2333,-121.9511,Travis AFB FamCamp
656,Padang,ID,77.05,light rain,-0.9492,100.3543,Mercure Padang
658,Bambanglipuro,ID,75.87,broken clouds,-7.95,110.2833,Puri Brata
660,Touros,BR,86.9,few clouds,-5.1989,-35.4608,INN NEW HORIZON
